Well	Number	Plate	OD	Sex	pred_conc	Fly 	DF	A	B	C
B	11	3	0.6	m	68417.18	59	125	5	4	4
B	11	3	0.6	m	68417.18	59	625	1	0	0
B	12	3	0.6	m	68417.18	60	1	NA	NA	NA
B	12	3	0.6	m	68417.18	60	5	NA	NA	NA
B	12	3	0.6	m	68417.18	60	25	29	29	17
B	12	3	0.6	m	68417.18	60	125	3	3	2
B	12	3	0.6	m	68417.18	60	625	2	1	0
G	1	3	0.6	f	68417.18	61	1	NA	NA	NA
G	1	3	0.6	f	68417.18	61	5	NA	NA	NA
G	1	3	0.6	f	68417.18	61	25	18	17	11
G	1	3	0.6	f	68417.18	61	125	1	5	3
G	1	3	0.6	f	68417.18	61	625	1	0	1
G	2	3	0.6	f	68417.18	62	1	NA	NA	NA
G	2	3	0.6	f	68417.18	62	5	NA	NA	NA
G	2	3	0.6	f	68417.18	62	25	23	21	14
G	2	3	0.6	f	68417.18	62	125	7	7	4
G	2	3	0.6	f	68417.18	62	625	1	1	0
G	3	3	0.6	f	68417.18	63	1	NA	NA	NA
G	3	3	0.6	f	68417.18	63	5	NA	NA	NA
G	3	3	0.6	f	68417.18	63	25	28	21	21
G	3	3	0.6	f	68417.18	63	125	1	3	6
G	3	3	0.6	f	68417.18	63	625	1	0	3
G	4	3	0.6	f	68417.18	64	1	NA	NA	NA
G	4	3	0.6	f	68417.18	64	5	NA	NA	NA
G	4	3	0.6	f	68417.18	64	25	26	21	44
G	4	3	0.6	f	68417.18	64	125	5	3	11
G	4	3	0.6	f	68417.18	64	625	1	3	0
G	5	3	0.6	f	68417.18	65	1	NA	NA	NA
G	5	3	0.6	f	68417.18	65	5	NA	NA	NA
G	5	3	0.6	f	68417.18	65	25	27	22	24
G	5	3	0.6	f	68417.18	65	125	5	5	2
G	5	3	0.6	f	68417.18	65	625	3	1	0
G	6	3	0.6	f	68417.18	66	1	NA	NA	NA
G	6	3	0.6	f	68417.18	66	5	NA	NA	NA
G	6	3	0.6	f	68417.18	66	25	35	37	30
G	6	3	0.6	f	68417.18	66	125	10	11	4
G	6	3	0.6	f	68417.18	66	625	1	2	1
G	7	3	0.6	f	68417.18	67	1	NA	NA	NA
G	7	3	0.6	f	68417.18	67	5	NA	NA	NA
G	7	3	0.6	f	68417.18	67	25	27	27	22
G	7	3	0.6	f	68417.18	67	125	7	6	3
G	7	3	0.6	f	68417.18	67	625	0	3	0
G	8	3	0.6	f	68417.18	68	1	NA	NA	NA
G	8	3	0.6	f	68417.18	68	5	NA	NA	NA
G	8	3	0.6	f	68417.18	68	25	19	22	28
G	8	3	0.6	f	68417.18	68	125	7	4	4
G	8	3	0.6	f	68417.18	68	625	1	0	3
G	9	3	0.6	f	68417.18	69	1	NA	NA	NA
G	9	3	0.6	f	68417.18	69	5	NA	NA	NA
G	9	3	0.6	f	68417.18	69	25	37	40	30
G	9	3	0.6	f	68417.18	69	125	1	5	5
G	9	3	0.6	f	68417.18	69	625	1	1	2
G	10	3	0.6	f	68417.18	70	1	NA	NA	NA
G	10	3	0.6	f	68417.18	70	5	NA	NA	NA
G	10	3	0.6	f	68417.18	70	25	33	29	41
G	10	3	0.6	f	68417.18	70	125	12	9	5
G	10	3	0.6	f	68417.18	70	625	1	0	1
G	11	3	0.6	f	68417.18	71	1	NA	NA	NA
G	11	3	0.6	f	68417.18	71	5	NA	NA	NA
G	11	3	0.6	f	68417.18	71	25	26	27	29
G	11	3	0.6	f	68417.18	71	125	6	6	8
G	11	3	0.6	f	68417.18	71	625	0	0	0
G	12	3	0.6	f	68417.18	72	1	NA	NA	NA
G	12	3	0.6	f	68417.18	72	5	NA	NA	NA
G	12	3	0.6	f	68417.18	72	25	24	31	28
G	12	3	0.6	f	68417.18	72	125	7	9	2
G	12	3	0.6	f	68417.18	72	625	3	0	1
B	1	4	6	m	684171.78	73	1	57	68	72
B	1	4	6	m	684171.78	73	5	9	10	9
B	1	4	6	m	684171.78	73	25	0	1	1
B	1	4	6	m	684171.78	73	125	0	0	0
B	1	4	6	m	684171.78	73	625	0	0	0
B	2	4	6	m	684171.78	74	1	0	0	0
B	2	4	6	m	684171.78	74	5	0	0	0
B	2	4	6	m	684171.78	74	25	0	0	0
B	2	4	6	m	684171.78	74	125	0	0	0
B	2	4	6	m	684171.78	74	625	0	0	0
B	3	4	6	m	684171.78	75	1	NA	NA	NA
B	3	4	6	m	684171.78	75	5	34	29	35
B	3	4	6	m	684171.78	75	25	7	2	5
B	3	4	6	m	684171.78	75	125	1	1	0
B	3	4	6	m	684171.78	75	625	0	0	0
B	4	4	6	m	684171.78	76	1	NA	NA	NA
B	4	4	6	m	684171.78	76	5	NA	NA	NA
B	4	4	6	m	684171.78	76	25	32	31	23
B	4	4	6	m	684171.78	76	125	8	5	6
B	4	4	6	m	684171.78	76	625	2	2	1
B	5	4	6	m	684171.78	77	1	NA	NA	NA
B	5	4	6	m	684171.78	77	5	20	17	0
B	5	4	6	m	684171.78	77	25	6	3	1
B	5	4	6	m	684171.78	77	125	0	0	0
B	5	4	6	m	684171.78	77	625	0	0	0
B	6	4	6	m	684171.78	78	1	0	0	0
B	6	4	6	m	684171.78	78	5	0	0	0
B	6	4	6	m	684171.78	78	25	0	0	0
B	6	4	6	m	684171.78	78	125	0	0	0
B	6	4	6	m	684171.78	78	625	0	0	0
B	7	4	6	m	684171.78	79	1	NA	NA	NA
B	7	4	6	m	684171.78	79	5	NA	NA	NA
B	7	4	6	m	684171.78	79	25	113	89	105
B	7	4	6	m	684171.78	79	125	28	22	24
B	7	4	6	m	684171.78	79	625	4	7	1
B	8	4	6	m	684171.78	80	1	NA	NA	NA
B	8	4	6	m	684171.78	80	5	NA	NA	NA
B	8	4	6	m	684171.78	80	25	47	36	34
B	8	4	6	m	684171.78	80	125	6	8	7
B	8	4	6	m	684171.78	80	625	3	2	0
B	9	4	6	m	684171.78	81	1	NA	NA	NA
B	9	4	6	m	684171.78	81	5	NA	NA	NA
B	9	4	6	m	684171.78	81	25	48	58	61
B	9	4	6	m	684171.78	81	125	12	14	11
B	9	4	6	m	684171.78	81	625	1	1	2
B	10	4	6	m	684171.78	82	1	NA	NA	NA
B	10	4	6	m	684171.78	82	5	NA	NA	NA
B	10	4	6	m	684171.78	82	25	59	61	65
B	10	4	6	m	684171.78	82	125	21	8	13
B	10	4	6	m	684171.78	82	625	7	2	2
B	11	4	6	m	684171.78	83	1	NA	NA	NA
B	11	4	6	m	684171.78	83	5	NA	NA	NA
B	11	4	6	m	684171.78	83	25	59	61	57
B	11	4	6	m	684171.78	83	125	7	10	8
B	11	4	6	m	684171.78	83	625	1	3	6
B	12	4	6	m	684171.78	84	1	NA	NA	NA
B	12	4	6	m	684171.78	84	5	NA	NA	NA
B	12	4	6	m	684171.78	84	25	90	67	78
B	12	4	6	m	684171.78	84	125	23	13	22
B	12	4	6	m	684171.78	84	625	4	3	3
G	1	4	6	f	684171.78	85	1	NA	NA	NA
G	1	4	6	f	684171.78	85	5	NA	NA	NA
G	1	4	6	f	684171.78	85	25	85	85	74
G	1	4	6	f	684171.78	85	125	17	27	20
G	1	4	6	f	684171.78	85	625	4	4	1
G	2	4	6	f	684171.78	86	1	NA	NA	NA
G	2	4	6	f	684171.78	86	5	NA	NA	NA
G	2	4	6	f	684171.78	86	25	91	78	93
G	2	4	6	f	684171.78	86	125	25	26	10
G	2	4	6	f	684171.78	86	625	2	1	0
G	3	4	6	f	684171.78	87	1	NA	NA	NA
G	3	4	6	f	684171.78	87	5	NA	NA	NA
G	3	4	6	f	684171.78	87	25	32	36	31
G	3	4	6	f	684171.78	87	125	6	7	5
G	3	4	6	f	684171.78	87	625	0	2	3
G	4	4	6	f	684171.78	88	1	NA	NA	NA
G	4	4	6	f	684171.78	88	5	NA	NA	NA
G	4	4	6	f	684171.78	88	25	58	63	64
G	4	4	6	f	684171.78	88	125	11	13	23
G	4	4	6	f	684171.78	88	625	2	5	6
G	5	4	6	f	684171.78	89	1	46	33	37
G	5	4	6	f	684171.78	89	5	4	8	5
G	5	4	6	f	684171.78	89	25	0	0	0
G	5	4	6	f	684171.78	89	125	0	0	0
G	5	4	6	f	684171.78	89	625	0	0	0
G	6	4	6	f	684171.78	90	1	NA	NA	NA
G	6	4	6	f	684171.78	90	5	NA	NA	NA
G	6	4	6	f	684171.78	90	25	96	82	86
G	6	4	6	f	684171.78	90	125	25	24	33
G	6	4	6	f	684171.78	90	625	2	3	2
G	7	4	6	f	684171.78	91	1	NA	NA	NA
G	7	4	6	f	684171.78	91	5	NA	NA	NA
G	7	4	6	f	684171.78	91	25	NA	NA	NA
G	7	4	6	f	684171.78	91	125	25	26	31
G	7	4	6	f	684171.78	91	625	4	4	6
G	8	4	6	f	684171.78	92	1	NA	NA	NA
G	8	4	6	f	684171.78	92	5	NA	NA	NA
G	8	4	6	f	684171.78	92	25	NA	NA	NA
G	8	4	6	f	684171.78	92	125	28	18	31
G	8	4	6	f	684171.78	92	625	5	4	4
G	9	4	6	f	684171.78	93	1	NA	NA	NA
G	9	4	6	f	684171.78	93	5	NA	NA	NA
G	9	4	6	f	684171.78	93	25	NA	NA	NA
G	9	4	6	f	684171.78	93	125	28	27	21
G	9	4	6	f	684171.78	93	625	5	3	3
G	10	4	6	f	684171.78	94	1	NA	NA	NA
G	10	4	6	f	684171.78	94	5	NA	NA	NA
G	10	4	6	f	684171.78	94	25	NA	NA	NA
G	10	4	6	f	684171.78	94	125	23	30	30
G	10	4	6	f	684171.78	94	625	11	9	7
G	11	4	6	f	684171.78	95	1	NA	NA	NA
G	11	4	6	f	684171.78	95	5	NA	NA	NA
G	11	4	6	f	684171.78	95	25	NA	NA	NA
G	11	4	6	f	684171.78	95	125	24	21	21
G	11	4	6	f	684171.78	95	625	5	5	4
G	12	4	6	f	684171.78	96	1	NA	NA	NA
G	12	4	6	f	684171.78	96	5	NA	NA	NA
G	12	4	6	f	684171.78	96	25	NA	NA	NA
G	12	4	6	f	684171.78	96	125	35	38	32
G	12	4	6	f	684171.78	96	625	6	10	6
